/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k0.5_osc50_vh32] Epoch 0133 | Train 0.000090 | Val 0.000125 | TF 0.5229 | best 0.000125@131
[lr0.0003_k0.5_osc50_vh32] Epoch 0134 | Train 0.000088 | Val 0.000114 | TF 0.5193 | best 0.000114@134
[lr0.0003_k0.5_osc50_vh32] Epoch 0135 | Train 0.000083 | Val 0.000123 | TF 0.5157 | best 0.000114@134
[lr0.0003_k0.5_osc50_vh32] Epoch 0136 | Train 0.000082 | Val 0.000113 | TF 0.5120 | best 0.000113@136
[lr0.0003_k0.5_osc50_vh32] Epoch 0137 | Train 0.000084 | Val 0.000129 | TF 0.5084 | best 0.000113@136
[lr0.0003_k0.5_osc50_vh32] Epoch 0138 | Train 0.000083 | Val 0.000117 | TF 0.5048 | best 0.000113@136
[lr0.0003_k0.5_osc50_vh32] Epoch 0139 | Train 0.000079 | Val 0.000105 | TF 0.5012 | best 0.000105@139
[lr0.0003_k0.5_osc50_vh32] Epoch 0140 | Train 0.000079 | Val 0.000100 | TF 0.4976 | best 0.000100@140
[lr0.0003_k0.5_osc50_vh32] Epoch 0141 | Train 0.000077 | Val 0.000116 | TF 0.4940 | best 0.000100@140
[lr0.0003_k0.5_osc50_vh32] Epoch 0142 | Train 0.000076 | Val 0.000107 | TF 0.4904 | best 0.000100@140
[lr0.0003_k0.5_osc50_vh32] Epoch 0143 | Train 0.000077 | Val 0.000109 | TF 0.4867 | best 0.000100@140
[lr0.0003_k0.5_osc50_vh32] Epoch 0144 | Train 0.000075 | Val 0.000107 | TF 0.4831 | best 0.000100@140
[lr0.0003_k0.5_osc50_vh32] Epoch 0145 | Train 0.000073 | Val 0.000115 | TF 0.4795 | best 0.000100@140
[lr0.0003_k0.5_osc50_vh32] Epoch 0146 | Train 0.000073 | Val 0.000098 | TF 0.4759 | best 0.000098@146
[lr0.0003_k0.5_osc50_vh32] Epoch 0147 | Train 0.000072 | Val 0.000094 | TF 0.4723 | best 0.000094@147
[lr0.0003_k0.5_osc50_vh32] Epoch 0148 | Train 0.000071 | Val 0.000093 | TF 0.4687 | best 0.000093@148
[lr0.0003_k0.5_osc50_vh32] Epoch 0149 | Train 0.000069 | Val 0.000087 | TF 0.4651 | best 0.000087@149
[lr0.0003_k0.5_osc50_vh32] Epoch 0150 | Train 0.000067 | Val 0.000092 | TF 0.4614 | best 0.000087@149
[lr0.0003_k0.5_osc50_vh32] Epoch 0151 | Train 0.000067 | Val 0.000092 | TF 0.4578 | best 0.000087@149
[lr0.0003_k0.5_osc50_vh32] Epoch 0152 | Train 0.000066 | Val 0.000090 | TF 0.4542 | best 0.000087@149
[lr0.0003_k0.5_osc50_vh32] Epoch 0153 | Train 0.000065 | Val 0.000085 | TF 0.4506 | best 0.000085@153
[lr0.0003_k0.5_osc50_vh32] Epoch 0154 | Train 0.000066 | Val 0.000088 | TF 0.4470 | best 0.000085@153
[lr0.0003_k0.5_osc50_vh32] Epoch 0155 | Train 0.000063 | Val 0.000094 | TF 0.4434 | best 0.000085@153
[lr0.0003_k0.5_osc50_vh32] Epoch 0156 | Train 0.000065 | Val 0.000106 | TF 0.4398 | best 0.000085@153
[lr0.0003_k0.5_osc50_vh32] Epoch 0157 | Train 0.000065 | Val 0.000083 | TF 0.4361 | best 0.000083@157
[lr0.0003_k0.5_osc50_vh32] Epoch 0158 | Train 0.000063 | Val 0.000086 | TF 0.4325 | best 0.000083@157
[lr0.0003_k0.5_osc50_vh32] Epoch 0159 | Train 0.000062 | Val 0.000094 | TF 0.4289 | best 0.000083@157
[lr0.0003_k0.5_osc50_vh32] Epoch 0160 | Train 0.000061 | Val 0.000086 | TF 0.4253 | best 0.000083@157
[lr0.0003_k0.5_osc50_vh32] Epoch 0161 | Train 0.000060 | Val 0.000083 | TF 0.4217 | best 0.000083@161
[lr0.0003_k0.5_osc50_vh32] Epoch 0162 | Train 0.000058 | Val 0.000083 | TF 0.4181 | best 0.000083@162
[lr0.0003_k0.5_osc50_vh32] Epoch 0163 | Train 0.000058 | Val 0.000074 | TF 0.4145 | best 0.000074@163
